# ATLAS_2016_I1458270
# mass_1000021         mass_1000022           2jl                    2jm                    2jt                    4jt                    5j                     6jm                    6jt                    
2.266197e+03           9.240790e+01           3.85e-01               4.62e-01               2.64e-01               2.85e-01               1.65e-01               1.02e-01               1.39e-01               
1.439747e+03           8.447935e+02           2.23e-01               1.73e-01               2.99e-02               2.89e-02               9.40e-02               5.45e-02               3.02e-02               
9.516766e+02           3.911050e+02           1.16e-01               7.66e-02               8.30e-03               1.26e-02               4.42e-02               2.72e-02               1.43e-02               
1.188489e+03           2.939160e+02           2.46e-01               2.61e-01               6.39e-02               7.90e-02               1.27e-01               6.70e-02               6.15e-02               
1.754417e+03           1.837189e+01           3.02e-01               3.66e-01               1.74e-01               2.39e-01               1.46e-01               8.28e-02               1.17e-01               
1.472211e+03           1.325773e+03           1.58e-02               2.41e-02               4.30e-03               1.10e-03               2.80e-03               2.30e-03               1.00e-03               
1.872184e+03           1.249720e+03           2.72e-01               2.26e-01               5.00e-02               3.74e-02               1.10e-01               6.29e-02               3.89e-02               
7.444291e+02           6.395067e+01           6.75e-02               4.14e-02               3.40e-03               7.90e-03               2.54e-02               1.59e-02               9.90e-03               
9.325581e+02           2.994283e+02           1.36e-01               9.31e-02               1.04e-02               1.79e-02               5.57e-02               3.22e-02               1.95e-02               
1.484856e+03           3.538788e+02           3.20e-01               3.69e-01               1.58e-01               1.90e-01               1.64e-01               9.42e-02               1.08e-01               
8.772400e+02           4.785909e+02           4.20e-02               2.48e-02               2.90e-03               4.20e-03               1.33e-02               8.70e-03               4.90e-03               
1.312747e+03           3.735227e+02           2.77e-01               3.04e-01               1.02e-01               1.13e-01               1.43e-01               8.08e-02               8.18e-02               
2.074338e+03           4.413935e+02           4.16e-01               4.88e-01               2.81e-01               3.01e-01               1.92e-01               1.11e-01               1.42e-01               
1.851028e+03           7.038513e+02           3.96e-01               4.52e-01               2.36e-01               2.51e-01               1.97e-01               1.12e-01               1.31e-01               
1.743125e+03           7.640025e+02           3.62e-01               4.11e-01               1.91e-01               1.83e-01               1.82e-01               9.97e-02               1.04e-01               
2.039157e+03           9.393290e+02           4.16e-01               4.73e-01               2.54e-01               2.54e-01               2.08e-01               1.13e-01               1.31e-01               
1.703174e+03           1.105919e+03           2.45e-01               1.93e-01               4.08e-02               3.17e-02               9.79e-02               6.18e-02               3.63e-02               
2.222193e+03           3.932546e+01           3.70e-01               4.47e-01               2.49e-01               2.81e-01               1.70e-01               1.04e-01               1.41e-01               
1.252078e+03           7.995837e+02           1.14e-01               6.58e-02               1.06e-02               1.05e-02               3.94e-02               2.79e-02               1.26e-02               
2.073319e+03           2.142973e+02           3.80e-01               4.55e-01               2.55e-01               2.94e-01               1.81e-01               1.10e-01               1.46e-01               
1.610475e+03           1.109979e+02           3.12e-01               3.71e-01               1.74e-01               2.38e-01               1.63e-01               9.50e-02               1.26e-01               
1.304283e+03           5.548495e+02           2.55e-01               2.46e-01               5.47e-02               6.10e-02               1.29e-01               7.19e-02               5.51e-02               
1.829239e+03           1.043865e+03           3.45e-01               3.63e-01               1.30e-01               9.75e-02               1.65e-01               9.14e-02               7.80e-02               
1.072695e+03           3.298247e+01           1.93e-01               1.97e-01               4.59e-02               6.84e-02               1.02e-01               5.34e-02               5.45e-02               
1.287356e+03           9.175031e+02           6.29e-02               4.32e-02               7.00e-03               7.00e-03               2.60e-02               1.80e-02               7.60e-03               
1.741376e+03           1.366080e+03           7.15e-02               4.49e-02               9.00e-03               6.10e-03               2.31e-02               1.61e-02               6.90e-03               
1.498983e+03           1.460054e+03           1.84e-02               2.15e-02               4.40e-03               6.00e-04               7.00e-04               3.00e-04               4.00e-04               
8.485149e+02           7.083501e+02           9.40e-03               1.39e-02               1.80e-03               4.00e-04               1.10e-03               8.00e-04               6.00e-04               
7.779584e+02           4.725113e+02           1.80e-02               1.35e-02               1.40e-03               2.20e-03               8.00e-03               5.80e-03               2.90e-03               
1.309130e+03           9.983077e+02           4.03e-02               3.25e-02               6.50e-03               4.40e-03               1.40e-02               1.00e-02               6.00e-03               
1.122725e+03           9.890985e+02           1.28e-02               1.83e-02               3.00e-03               9.00e-04               2.70e-03               1.40e-03               6.00e-04               
1.852087e+03           1.475911e+03           9.18e-02               4.83e-02               4.83e-03               2.42e-03               2.66e-02               2.17e-02               1.21e-02               
1.110965e+03           3.279059e+02           2.10e-01               2.04e-01               3.90e-02               5.10e-02               1.10e-01               6.02e-02               4.81e-02               
1.420078e+03           8.157830e+02           0.00e+00               0.00e+00               0.00e+00               0.00e+00               0.00e+00               0.00e+00               0.00e+00               
1.093008e+03           8.144217e+02           2.80e-02               2.55e-02               3.70e-03               3.00e-03               1.03e-02               7.10e-03               3.80e-03               
2.113026e+03           4.913795e+02           4.18e-01               4.94e-01               2.89e-01               3.17e-01               2.02e-01               1.17e-01               1.50e-01               
1.707846e+03           6.460830e+02           3.70e-01               4.16e-01               2.01e-01               2.10e-01               1.86e-01               1.04e-01               1.18e-01               
1.443972e+03           1.833006e+02           3.19e-01               3.62e-01               1.76e-01               2.06e-01               1.61e-01               8.14e-02               1.15e-01               
1.272617e+03           1.041223e+03           9.17e-03               1.83e-02               0.00e+00               0.00e+00               9.17e-03               9.17e-03               0.00e+00               
1.700118e+03           4.246307e+02           3.54e-01               4.16e-01               2.06e-01               2.44e-01               1.75e-01               9.53e-02               1.20e-01               
1.620498e+03           9.540435e+02           2.69e-01               2.46e-01               5.47e-02               4.78e-02               1.24e-01               7.08e-02               4.83e-02               
1.154707e+03           2.644985e+02           2.30e-01               2.44e-01               6.33e-02               7.95e-02               1.26e-01               6.92e-02               6.47e-02               
4.971569e+02           3.723824e+02           2.60e-03               4.90e-03               4.00e-04               4.00e-04               7.00e-04               7.00e-04               5.00e-04               
1.658226e+03           3.690647e+02           3.53e-01               4.10e-01               2.03e-01               2.50e-01               1.77e-01               9.86e-02               1.24e-01               
1.295820e+03           7.361763e+02           1.84e-01               1.29e-01               1.83e-02               2.28e-02               7.31e-02               4.36e-02               2.51e-02               
1.724773e+03           2.834294e+02           3.52e-01               4.10e-01               2.12e-01               2.67e-01               1.77e-01               1.02e-01               1.33e-01               
1.751588e+03           5.826756e+02           3.77e-01               4.35e-01               2.15e-01               2.41e-01               1.86e-01               1.05e-01               1.22e-01               
1.734661e+03           9.453293e+02           3.25e-01               3.44e-01               1.16e-01               9.52e-02               1.60e-01               8.91e-02               7.63e-02               
1.788842e+03           2.155504e+02           3.47e-01               4.05e-01               2.14e-01               2.66e-01               1.72e-01               9.49e-02               1.25e-01               
1.778629e+03           1.245530e+03           2.08e-01               1.39e-01               2.31e-02               2.21e-02               7.59e-02               4.53e-02               2.45e-02               
1.925465e+03           6.163654e+02           3.97e-01               4.65e-01               2.54e-01               2.80e-01               1.90e-01               1.07e-01               1.35e-01               
1.006995e+03           2.119424e+02           1.80e-01               1.70e-01               2.39e-02               3.79e-02               8.99e-02               4.87e-02               3.61e-02               
1.646837e+03           1.057986e+03           2.41e-01               1.83e-01               3.31e-02               3.08e-02               9.15e-02               5.47e-02               3.26e-02               
