# ATLAS_2016_I1458270
# mass_1000021         mass_1000022           2jl                    2jm                    2jt                    4jt                    5j                     6jm                    6jt                    
1.478845e+03           1.141281e+03           5.14e-02               3.89e-02               7.70e-03               4.40e-03               1.87e-02               1.20e-02               5.60e-03               
2.207149e+03           8.560338e+02           4.35e-01               5.06e-01               2.96e-01               3.10e-01               2.07e-01               1.14e-01               1.41e-01               
1.094038e+03           6.905595e+02           6.54e-02               4.15e-02               5.50e-03               6.00e-03               2.47e-02               1.60e-02               6.80e-03               
6.529115e+02           5.139524e+02           6.50e-03               8.30e-03               8.00e-04               4.00e-04               1.50e-03               1.20e-03               6.00e-04               
1.253498e+03           9.495462e+02           3.51e-02               3.15e-02               5.00e-03               4.30e-03               1.41e-02               1.05e-02               5.10e-03               
1.366376e+03           9.720152e+02           7.70e-02               4.82e-02               9.60e-03               7.80e-03               2.73e-02               1.91e-02               8.60e-03               
2.200889e+03           1.691650e+02           3.78e-01               4.53e-01               2.55e-01               2.83e-01               1.68e-01               1.00e-01               1.37e-01               
1.905328e+03           2.975925e+02           3.72e-01               4.43e-01               2.35e-01               2.76e-01               1.73e-01               1.03e-01               1.32e-01               
6.989385e+02           4.179992e+02           1.23e-02               1.19e-02               1.50e-03               1.20e-03               5.40e-03               3.70e-03               1.70e-03               
8.768850e+02           6.305356e+02           1.67e-02               1.83e-02               3.00e-03               1.80e-03               6.00e-03               3.80e-03               1.90e-03               
1.374439e+03           9.215506e+02           1.15e-01               6.67e-02               1.05e-02               1.00e-02               4.11e-02               2.75e-02               1.29e-02               
1.349449e+03           1.334669e+03           1.79e-02               1.95e-02               4.60e-03               3.00e-04               8.00e-04               4.00e-04               2.00e-04               
1.178043e+03           8.099359e+02           5.51e-02               3.86e-02               5.90e-03               4.50e-03               2.19e-02               1.62e-02               6.10e-03               
7.341898e+02           5.236745e+02           1.03e-02               1.11e-02               1.50e-03               1.50e-03               3.60e-03               2.40e-03               1.20e-03               
1.928521e+03           1.297654e+03           2.82e-01               2.42e-01               5.23e-02               4.05e-02               1.12e-01               6.60e-02               4.29e-02               
1.194105e+03           2.203238e+02           2.36e-01               2.60e-01               7.26e-02               9.34e-02               1.24e-01               6.91e-02               7.20e-02               
1.121706e+03           7.620022e+02           4.76e-02               3.34e-02               5.30e-03               5.30e-03               1.89e-02               1.29e-02               5.30e-03               
2.170949e+03           1.126873e+03           4.14e-01               4.72e-01               2.43e-01               2.35e-01               2.02e-01               1.09e-01               1.23e-01               
1.690920e+03           1.008737e+03           2.91e-01               2.74e-01               6.47e-02               5.68e-02               1.33e-01               7.54e-02               5.39e-02               
2.178334e+03           4.146224e+02           4.13e-01               4.92e-01               2.90e-01               3.05e-01               1.90e-01               1.09e-01               1.42e-01               
2.167893e+03           4.455843e+02           4.11e-01               4.91e-01               2.88e-01               3.08e-01               1.87e-01               1.02e-01               1.39e-01               
1.331098e+03           8.540957e+02           1.27e-01               8.17e-02               1.60e-02               9.62e-03               3.85e-02               2.24e-02               1.28e-02               
1.586425e+03           1.016671e+02           2.96e-01               3.53e-01               1.64e-01               2.29e-01               1.45e-01               8.07e-02               1.11e-01               
1.984858e+03           1.345588e+03           2.95e-01               2.62e-01               6.18e-02               4.44e-02               1.24e-01               6.77e-02               4.34e-02               
1.348025e+03           4.914421e+02           2.85e-01               3.02e-01               9.55e-02               9.60e-02               1.53e-01               8.56e-02               7.80e-02               
1.160672e+03           7.804965e+01           2.16e-01               2.39e-01               7.15e-02               9.19e-02               1.10e-01               5.98e-02               6.62e-02               
1.843209e+03           2.024180e+02           3.62e-01               4.24e-01               2.32e-01               2.74e-01               1.74e-01               1.02e-01               1.35e-01               
1.322635e+03           1.035423e+03           3.17e-02               3.13e-02               5.20e-03               3.40e-03               1.38e-02               9.30e-03               4.80e-03               
